"zipcode","cases","population","rate"
"94022","57","19378","294"
"94024","47","23961","196"
"94040","151","35845","421"
"94041","72","14394","500"
"94043","108","31488","343"
"94085","183","23612","775"
"94086","214","49630","431"
"94087","160","57219","280"
"94089","116","22313","520"
"94301","67","17191","390"
"94304","23","3902","589"
"94305","15","15730","95"
"94306","74","27549","269"
"95002","26","2146","1212"
"95008","255","46513","548"
"95013","0","77","0"
"95014","87","62430","139"
"95020","943","63852","1477"
"95030","43","13288","324"
"95032","86","26281","327"
"95035","388","77562","500"
"95037","417","51652","807"
"95046","67","6025","1112"
"95050","258","39452","654"
"95051","265","58123","456"
"95053","0","3678","0"
"95054","194","24264","800"
"95070","71","31308","227"
"95110","338","20203","1673"
"95111","980","62392","1571"
"95112","682","61060","1117"
"95113","44","1939","2269"
"95116","1036","56481","1834"
"95117","343","29592","1159"
"95118","199","32560","611"
"95119","43","10472","411"
"95120","140","37774","371"
"95121","293","38102","769"
"95122","1148","57780","1987"
"95123","522","67186","777"
"95124","185","51170","362"
"95125","348","53574","650"
"95126","349","35988","970"
"95127","993","65686","1512"
"95128","279","37665","741"
"95129","101","39828","254"
"95130","62","14863","417"
"95131","162","31170","520"
"95132","198","41844","473"
"95133","244","28726","849"
"95134","120","27224","441"
"95135","52","22358","233"
"95136","460","47599","966"
"95138","132","20766","636"
"95139","37","7293","507"
"95140","0","115","0"
"95148","432","48854","884"
