"zipcode","cases","population","rate"
"94022","177","19378","913"
"94024","145","23961","605"
"94040","628","35845","1752"
"94041","213","14394","1480"
"94043","378","31488","1200"
"94085","444","23612","1880"
"94086","656","49630","1322"
"94087","393","57219","687"
"94089","383","22313","1716"
"94301","176","17191","1024"
"94304","48","3902","1230"
"94305","43","15730","273"
"94306","231","27549","839"
"95002","86","2146","4007"
"95008","781","46513","1679"
"95013","0","77","0"
"95014","283","62430","453"
"95020","3074","63852","4814"
"95030","171","13288","1287"
"95032","279","26281","1062"
"95035","1235","77562","1592"
"95037","1334","51652","2583"
"95046","252","6025","4183"
"95050","801","39452","2030"
"95051","760","58123","1308"
"95053","0","3678","0"
"95054","419","24264","1727"
"95070","233","31308","744"
"95110","989","20203","4895"
"95111","2876","62392","4610"
"95112","1875","61060","3071"
"95113","101","1939","5209"
"95116","2798","56481","4954"
"95117","887","29592","2997"
"95118","606","32560","1861"
"95119","196","10472","1872"
"95120","337","37774","892"
"95121","1164","38102","3055"
"95122","3309","57780","5727"
"95123","1613","67186","2401"
"95124","563","51170","1100"
"95125","1098","53574","2050"
"95126","982","35988","2729"
"95127","2941","65686","4477"
"95128","865","37665","2297"
"95129","431","39828","1082"
"95130","159","14863","1070"
"95131","526","31170","1688"
"95132","750","41844","1792"
"95133","768","28726","2674"
"95134","351","27224","1289"
"95135","214","22358","957"
"95136","1244","47599","2614"
"95138","408","20766","1965"
"95139","139","7293","1906"
"95140","0","115","0"
"95148","1194","48854","2444"
