"zipcode","cases","population","rate"
"94022","205","19378","1058"
"94024","236","23961","985"
"94040","763","35845","2129"
"94041","270","14394","1876"
"94043","461","31488","1464"
"94085","551","23612","2334"
"94086","873","49630","1759"
"94087","608","57219","1063"
"94089","518","22313","2322"
"94301","239","17191","1390"
"94304","70","3902","1794"
"94305","50","15730","318"
"94306","284","27549","1031"
"95002","107","2146","4986"
"95008","1016","46513","2184"
"95013","0","77","0"
"95014","379","62430","607"
"95020","4026","63852","6305"
"95030","226","13288","1701"
"95032","369","26281","1404"
"95035","1647","77562","2123"
"95037","1759","51652","3405"
"95046","316","6025","5245"
"95050","1022","39452","2590"
"95051","968","58123","1665"
"95053","0","3678","0"
"95054","533","24264","2197"
"95070","313","31308","1000"
"95110","1242","20203","6148"
"95111","3819","62392","6121"
"95112","2517","61060","4122"
"95113","119","1939","6137"
"95116","3599","56481","6372"
"95117","1132","29592","3825"
"95118","792","32560","2432"
"95119","278","10472","2655"
"95120","429","37774","1136"
"95121","1696","38102","4451"
"95122","4401","57780","7617"
"95123","2206","67186","3283"
"95124","775","51170","1515"
"95125","1469","53574","2742"
"95126","1277","35988","3548"
"95127","3821","65686","5817"
"95128","1266","37665","3361"
"95129","538","39828","1351"
"95130","234","14863","1574"
"95131","744","31170","2387"
"95132","999","41844","2387"
"95133","1029","28726","3582"
"95134","452","27224","1660"
"95135","307","22358","1373"
"95136","1634","47599","3433"
"95138","504","20766","2427"
"95139","164","7293","2249"
"95140","0","115","0"
"95148","1611","48854","3298"
