"zipcode","cases","population","rate"
"94022","130","19378","671"
"94024","109","23961","455"
"94040","375","35845","1046"
"94041","171","14394","1188"
"94043","275","31488","873"
"94085","355","23612","1503"
"94086","489","49630","985"
"94087","289","57219","505"
"94089","254","22313","1138"
"94301","142","17191","826"
"94304","33","3902","846"
"94305","42","15730","267"
"94306","155","27549","563"
"95002","55","2146","2563"
"95008","547","46513","1176"
"95013","0","77","0"
"95014","208","62430","333"
"95020","2202","63852","3449"
"95030","97","13288","730"
"95032","211","26281","803"
"95035","832","77562","1073"
"95037","900","51652","1742"
"95046","157","6025","2606"
"95050","598","39452","1516"
"95051","553","58123","951"
"95053","0","3678","0"
"95054","311","24264","1282"
"95070","183","31308","585"
"95110","752","20203","3722"
"95111","2064","62392","3308"
"95112","1361","61060","2229"
"95113","75","1939","3868"
"95116","2081","56481","3684"
"95117","687","29592","2322"
"95118","441","32560","1354"
"95119","109","10472","1041"
"95120","261","37774","691"
"95121","743","38102","1950"
"95122","2362","57780","4088"
"95123","1138","67186","1694"
"95124","417","51170","815"
"95125","819","53574","1529"
"95126","731","35988","2031"
"95127","2108","65686","3209"
"95128","572","37665","1519"
"95129","227","39828","570"
"95130","123","14863","828"
"95131","363","31170","1165"
"95132","493","41844","1178"
"95133","553","28726","1925"
"95134","258","27224","948"
"95135","125","22358","559"
"95136","916","47599","1924"
"95138","276","20766","1329"
"95139","82","7293","1124"
"95140","0","115","0"
"95148","786","48854","1609"
