"zipcode","cases","population","rate"
"94022","442","19378","2281"
"94024","481","23961","2007"
"94040","1393","35845","3886"
"94041","604","14394","4196"
"94043","1055","31488","3350"
"94085","1201","23612","5086"
"94086","1979","49630","3988"
"94087","1417","57219","2476"
"94089","1050","22313","4706"
"94301","454","17191","2641"
"94304","122","3902","3127"
"94305","160","15730","1017"
"94306","626","27549","2272"
"95002","182","2146","8481"
"95008","2060","46513","4429"
"95013","0","77","0"
"95014","937","62430","1501"
"95020","7387","63852","11569"
"95030","399","13288","3003"
"95032","817","26281","3109"
"95035","3667","77562","4728"
"95037","3539","51652","6852"
"95046","625","6025","10373"
"95050","2181","39452","5528"
"95051","2221","58123","3821"
"95053","47","3678","1278"
"95054","1121","24264","4620"
"95070","660","31308","2108"
"95110","2264","20203","11206"
"95111","7057","62392","11311"
"95112","4934","61060","8081"
"95113","285","1939","14698"
"95116","6862","56481","12149"
"95117","2366","29592","7995"
"95118","1687","32560","5181"
"95119","616","10472","5882"
"95120","936","37774","2478"
"95121","3479","38102","9131"
"95122","8231","57780","14245"
"95123","4704","67186","7001"
"95124","1802","51170","3522"
"95125","3024","53574","5645"
"95126","2370","35988","6586"
"95127","7380","65686","11235"
"95128","2558","37665","6791"
"95129","1075","39828","2699"
"95130","531","14863","3573"
"95131","1526","31170","4896"
"95132","2089","41844","4992"
"95133","2223","28726","7739"
"95134","992","27224","3644"
"95135","662","22358","2961"
"95136","3211","47599","6746"
"95138","1033","20766","4974"
"95139","338","7293","4635"
"95140","13","115","11304"
"95148","3383","48854","6925"
