"zipcode","cases","population","rate"
"94022","71","19378","366"
"94024","71","23961","296"
"94040","232","35845","647"
"94041","114","14394","792"
"94043","176","31488","559"
"94085","251","23612","1063"
"94086","288","49630","580"
"94087","193","57219","337"
"94089","139","22313","623"
"94301","83","17191","483"
"94304","28","3902","718"
"94305","21","15730","134"
"94306","105","27549","381"
"95002","32","2146","1491"
"95008","313","46513","673"
"95013","0","77","0"
"95014","106","62430","170"
"95020","1346","63852","2108"
"95030","48","13288","361"
"95032","124","26281","472"
"95035","496","77562","639"
"95037","556","51652","1076"
"95046","100","6025","1660"
"95050","341","39452","864"
"95051","340","58123","585"
"95053","0","3678","0"
"95054","224","24264","923"
"95070","102","31308","326"
"95110","411","20203","2034"
"95111","1276","62392","2045"
"95112","862","61060","1412"
"95113","51","1939","2630"
"95116","1325","56481","2346"
"95117","446","29592","1507"
"95118","257","32560","789"
"95119","56","10472","535"
"95120","172","37774","455"
"95121","427","38102","1121"
"95122","1498","57780","2593"
"95123","684","67186","1018"
"95124","253","51170","494"
"95125","472","53574","881"
"95126","434","35988","1206"
"95127","1298","65686","1976"
"95128","362","37665","961"
"95129","128","39828","321"
"95130","75","14863","505"
"95131","221","31170","709"
"95132","294","41844","703"
"95133","344","28726","1198"
"95134","142","27224","522"
"95135","74","22358","331"
"95136","566","47599","1189"
"95138","161","20766","775"
"95139","54","7293","740"
"95140",,"115","0"
"95148","527","48854","1079"
