"zipcode","cases","population","rate"
"94022","2577","19378","13299"
"94024","2849","23961","11890"
"94040","5529","35845","15425"
"94041","2237","14394","15541"
"94043","4569","31488","14510"
"94085","4329","23612","18334"
"94086","7561","49630","15235"
"94087","7876","57219","13765"
"94089","4154","22313","18617"
"94301","2483","17191","14444"
"94304","698","3902","17888"
"94305","580","15730","3687"
"94306","3858","27549","14004"
"95002","565","2146","26328"
"95008","8757","46513","18827"
"95013","30","77","38961"
"95014","7286","62430","11671"
"95020","18715","63852","29310"
"95030","1599","13288","12033"
"95032","4193","26281","15954"
"95035","14967","77562","19297"
"95037","12272","51652","23759"
"95046","726","6025","12050"
"95050","8215","39452","20823"
"95051","10555","58123","18160"
"95053","194","3678","5275"
"95054","5131","24264","21147"
"95070","3971","31308","12684"
"95110","6580","20203","32569"
"95111","20118","62392","32245"
"95112","15579","61060","25514"
"95113","1023","1939","52759"
"95116","16958","56481","30024"
"95117","7068","29592","23885"
"95118","7179","32560","22049"
"95119","2662","10472","25420"
"95120","5939","37774","15722"
"95121","10970","38102","28791"
"95122","19312","57780","33423"
"95123","16762","67186","24949"
"95124","8714","51170","17030"
"95125","11715","53574","21867"
"95126","8772","35988","24375"
"95127","19568","65686","29790"
"95128","8657","37665","22984"
"95129","5945","39828","14927"
"95130","2311","14863","15549"
"95131","6225","31170","19971"
"95132","8168","41844","19520"
"95133","6955","28726","24212"
"95134","5142","27224","18888"
"95135","3246","22358","14518"
"95136","11613","47599","24398"
"95138","4072","20766","19609"
"95139","1495","7293","20499"
"95140","37","115","32174"
"95148","12192","48854","24956"
