"zipcode","cases","population","rate"
"94022","396","19378","2044"
"94024","452","23961","1886"
"94040","1297","35845","3618"
"94041","563","14394","3911"
"94043","961","31488","3052"
"94085","1131","23612","4790"
"94086","1801","49630","3629"
"94087","1279","57219","2235"
"94089","967","22313","4334"
"94301","422","17191","2455"
"94304","118","3902","3024"
"94305","141","15730","896"
"94306","563","27549","2044"
"95002","178","2146","8295"
"95008","1888","46513","4059"
"95013","0","77","0"
"95014","810","62430","1297"
"95020","7156","63852","11207"
"95030","362","13288","2724"
"95032","755","26281","2873"
"95035","3376","77562","4353"
"95037","3356","51652","6497"
"95046","599","6025","9942"
"95050","1968","39452","4988"
"95051","2021","58123","3477"
"95053","0","3678","0"
"95054","1041","24264","4290"
"95070","592","31308","1891"
"95110","2170","20203","10741"
"95111","6777","62392","10862"
"95112","4633","61060","7588"
"95113","274","1939","14131"
"95116","6597","56481","11680"
"95117","2251","29592","7607"
"95118","1564","32560","4803"
"95119","565","10472","5395"
"95120","847","37774","2242"
"95121","3284","38102","8619"
"95122","7929","57780","13723"
"95123","4380","67186","6519"
"95124","1648","51170","3221"
"95125","2862","53574","5342"
"95126","2264","35988","6291"
"95127","7052","65686","10736"
"95128","2440","37665","6478"
"95129","984","39828","2471"
"95130","490","14863","3297"
"95131","1425","31170","4572"
"95132","1965","41844","4696"
"95133","2095","28726","7293"
"95134","855","27224","3141"
"95135","605","22358","2706"
"95136","3025","47599","6355"
"95138","968","20766","4661"
"95139","317","7293","4347"
"95140","11","115","9565"
"95148","3222","48854","6595"
