"zipcode","cases","population","rate"
"94022","95","19378","490"
"94024","84","23961","351"
"94040","314","35845","876"
"94041","144","14394","1000"
"94043","210","31488","667"
"94085","293","23612","1241"
"94086","385","49630","776"
"94087","237","57219","414"
"94089","186","22313","834"
"94301","121","17191","704"
"94304","30","3902","769"
"94305","26","15730","165"
"94306","131","27549","476"
"95002","38","2146","1771"
"95008","444","46513","955"
"95013","0","77","0"
"95014","152","62430","243"
"95020","1713","63852","2683"
"95030","65","13288","489"
"95032","159","26281","605"
"95035","661","77562","852"
"95037","692","51652","1340"
"95046","135","6025","2241"
"95050","492","39452","1247"
"95051","415","58123","714"
"95053","0","3678","0"
"95054","271","24264","1117"
"95070","143","31308","457"
"95110","579","20203","2866"
"95111","1657","62392","2656"
"95112","1079","61060","1767"
"95113","63","1939","3249"
"95116","1654","56481","2928"
"95117","570","29592","1926"
"95118","364","32560","1118"
"95119","74","10472","707"
"95120","220","37774","582"
"95121","542","38102","1422"
"95122","1920","57780","3323"
"95123","891","67186","1326"
"95124","343","51170","670"
"95125","622","53574","1161"
"95126","584","35988","1623"
"95127","1643","65686","2501"
"95128","450","37665","1195"
"95129","169","39828","424"
"95130","100","14863","673"
"95131","278","31170","892"
"95132","371","41844","887"
"95133","431","28726","1500"
"95134","183","27224","672"
"95135","92","22358","411"
"95136","717","47599","1506"
"95138","200","20766","963"
"95139","62","7293","850"
"95140","0","115","0"
"95148","621","48854","1271"
