"zipcode","cases","population","rate"
"94022","358","19378","1847"
"94024","399","23961","1665"
"94040","1201","35845","3351"
"94041","507","14394","3522"
"94043","879","31488","2792"
"94085","1037","23612","4392"
"94086","1635","49630","3294"
"94087","1174","57219","2052"
"94089","909","22313","4074"
"94301","401","17191","2333"
"94304","114","3902","2922"
"94305","132","15730","839"
"94306","518","27549","1880"
"95002","169","2146","7875"
"95008","1758","46513","3780"
"95013","0","77","0"
"95014","748","62430","1198"
"95020","6627","63852","10379"
"95030","329","13288","2476"
"95032","678","26281","2580"
"95035","3109","77562","4008"
"95037","3051","51652","5907"
"95046","564","6025","9361"
"95050","1790","39452","4537"
"95051","1804","58123","3104"
"95053","0","3678","0"
"95054","978","24264","4031"
"95070","535","31308","1709"
"95110","2043","20203","10112"
"95111","6271","62392","10051"
"95112","4294","61060","7032"
"95113","237","1939","12223"
"95116","6154","56481","10896"
"95117","2098","29592","7090"
"95118","1469","32560","4512"
"95119","523","10472","4994"
"95120","780","37774","2065"
"95121","3044","38102","7989"
"95122","7389","57780","12788"
"95123","4062","67186","6046"
"95124","1492","51170","2916"
"95125","2614","53574","4879"
"95126","2077","35988","5771"
"95127","6539","65686","9955"
"95128","2261","37665","6003"
"95129","920","39828","2310"
"95130","443","14863","2981"
"95131","1318","31170","4228"
"95132","1754","41844","4192"
"95133","1870","28726","6510"
"95134","758","27224","2784"
"95135","565","22358","2527"
"95136","2815","47599","5914"
"95138","886","20766","4267"
"95139","301","7293","4127"
"95140","0","115","0"
"95148","2933","48854","6004"
