"zipcode","cases","population","rate"
"94022","157","19378","810"
"94024","133","23961","555"
"94040","525","35845","1465"
"94041","194","14394","1348"
"94043","329","31488","1045"
"94085","399","23612","1690"
"94086","583","49630","1175"
"94087","347","57219","606"
"94089","313","22313","1403"
"94301","158","17191","919"
"94304","37","3902","948"
"94305","43","15730","273"
"94306","191","27549","693"
"95002","64","2146","2982"
"95008","656","46513","1410"
"95013","0","77","0"
"95014","254","62430","407"
"95020","2594","63852","4063"
"95030","135","13288","1016"
"95032","254","26281","966"
"95035","999","77562","1288"
"95037","1131","51652","2190"
"95046","205","6025","3402"
"95050","705","39452","1787"
"95051","659","58123","1134"
"95053","0","3678","0"
"95054","360","24264","1484"
"95070","209","31308","668"
"95110","850","20203","4207"
"95111","2431","62392","3896"
"95112","1643","61060","2691"
"95113","88","1939","4538"
"95116","2440","56481","4320"
"95117","781","29592","2639"
"95118","523","32560","1606"
"95119","147","10472","1404"
"95120","305","37774","807"
"95121","943","38102","2475"
"95122","2811","57780","4865"
"95123","1382","67186","2057"
"95124","486","51170","950"
"95125","940","53574","1755"
"95126","867","35988","2409"
"95127","2483","65686","3780"
"95128","722","37665","1917"
"95129","291","39828","731"
"95130","141","14863","949"
"95131","437","31170","1402"
"95132","611","41844","1460"
"95133","645","28726","2245"
"95134","291","27224","1069"
"95135","173","22358","774"
"95136","1077","47599","2263"
"95138","338","20766","1628"
"95139","122","7293","1673"
"95140","0","115","0"
"95148","968","48854","1981"
