"zipcode","cases","population","rate"
"94022","357","19378","1842"
"94024","400","23961","1669"
"94040","1194","35845","3331"
"94041","506","14394","3515"
"94043","870","31488","2763"
"94085","1033","23612","4375"
"94086","1629","49630","3282"
"94087","1170","57219","2045"
"94089","904","22313","4051"
"94301","399","17191","2321"
"94304","114","3902","2922"
"94305","130","15730","826"
"94306","515","27549","1869"
"95002","168","2146","7829"
"95008","1750","46513","3762"
"95013","0","77","0"
"95014","746","62430","1195"
"95020","6606","63852","10346"
"95030","325","13288","2446"
"95032","676","26281","2572"
"95035","3105","77562","4003"
"95037","3038","51652","5882"
"95046","562","6025","9328"
"95050","1786","39452","4527"
"95051","1798","58123","3093"
"95053","0","3678","0"
"95054","976","24264","4022"
"95070","534","31308","1706"
"95110","2040","20203","10098"
"95111","6247","62392","10013"
"95112","4282","61060","7013"
"95113","236","1939","12171"
"95116","6140","56481","10871"
"95117","2089","29592","7059"
"95118","1467","32560","4506"
"95119","522","10472","4985"
"95120","779","37774","2062"
"95121","3041","38102","7981"
"95122","7354","57780","12728"
"95123","4054","67186","6034"
"95124","1486","51170","2904"
"95125","2609","53574","4870"
"95126","2073","35988","5760"
"95127","6512","65686","9914"
"95128","2255","37665","5987"
"95129","918","39828","2305"
"95130","443","14863","2981"
"95131","1317","31170","4225"
"95132","1750","41844","4182"
"95133","1863","28726","6485"
"95134","754","27224","2770"
"95135","565","22358","2527"
"95136","2808","47599","5899"
"95138","885","20766","4262"
"95139","301","7293","4127"
"95140","0","115","0"
"95148","2923","48854","5983"
