"zipcode","cases","population","rate"
"94022","58","19378","299"
"94024","47","23961","196"
"94040","154","35845","430"
"94041","74","14394","514"
"94043","109","31488","346"
"94085","187","23612","792"
"94086","223","49630","449"
"94087","163","57219","285"
"94089","117","22313","524"
"94301","70","17191","407"
"94304","23","3902","589"
"94305","16","15730","102"
"94306","77","27549","280"
"95002","26","2146","1212"
"95008","267","46513","574"
"95013","0","77","0"
"95014","89","62430","143"
"95020","992","63852","1554"
"95030","43","13288","324"
"95032","94","26281","358"
"95035","394","77562","508"
"95037","431","51652","834"
"95046","66","6025","1095"
"95050","260","39452","659"
"95051","271","58123","466"
"95053","0","3678","0"
"95054","198","24264","816"
"95070","72","31308","230"
"95110","341","20203","1688"
"95111","1010","62392","1619"
"95112","702","61060","1150"
"95113","44","1939","2269"
"95116","1058","56481","1873"
"95117","347","29592","1173"
"95118","204","32560","627"
"95119","46","10472","439"
"95120","141","37774","373"
"95121","305","38102","800"
"95122","1183","57780","2047"
"95123","535","67186","796"
"95124","197","51170","385"
"95125","358","53574","668"
"95126","359","35988","998"
"95127","1018","65686","1550"
"95128","286","37665","759"
"95129","103","39828","259"
"95130","62","14863","417"
"95131","164","31170","526"
"95132","203","41844","485"
"95133","249","28726","867"
"95134","122","27224","448"
"95135","53","22358","237"
"95136","470","47599","987"
"95138","133","20766","640"
"95139","37","7293","507"
"95140",,"115","0"
"95148","445","48854","911"
