"zipcode","cases","population","rate"
"94022","129","19378","666"
"94024","107","23961","447"
"94040","371","35845","1035"
"94041","170","14394","1181"
"94043","268","31488","851"
"94085","352","23612","1491"
"94086","478","49630","963"
"94087","285","57219","498"
"94089","246","22313","1102"
"94301","141","17191","820"
"94304","32","3902","820"
"94305","42","15730","267"
"94306","152","27549","552"
"95002","53","2146","2470"
"95008","545","46513","1172"
"95013","0","77","0"
"95014","206","62430","330"
"95020","2185","63852","3422"
"95030","83","13288","625"
"95032","209","26281","795"
"95035","819","77562","1056"
"95037","887","51652","1717"
"95046","154","6025","2556"
"95050","593","39452","1503"
"95051","543","58123","934"
"95053","0","3678","0"
"95054","308","24264","1269"
"95070","177","31308","565"
"95110","739","20203","3658"
"95111","2040","62392","3270"
"95112","1337","61060","2190"
"95113","74","1939","3816"
"95116","2055","56481","3638"
"95117","680","29592","2298"
"95118","438","32560","1345"
"95119","108","10472","1031"
"95120","258","37774","683"
"95121","725","38102","1903"
"95122","2332","57780","4036"
"95123","1124","67186","1673"
"95124","408","51170","797"
"95125","805","53574","1503"
"95126","724","35988","2012"
"95127","2078","65686","3164"
"95128","563","37665","1495"
"95129","221","39828","555"
"95130","122","14863","821"
"95131","352","31170","1129"
"95132","485","41844","1159"
"95133","544","28726","1894"
"95134","253","27224","929"
"95135","124","22358","555"
"95136","904","47599","1899"
"95138","274","20766","1319"
"95139","81","7293","1111"
"95140","0","115","0"
"95148","773","48854","1582"
