"zipcode","cases","population","rate"
"94022","148","19378","764"
"94024","126","23961","526"
"94040","462","35845","1289"
"94041","178","14394","1237"
"94043","309","31488","981"
"94085","380","23612","1609"
"94086","551","49630","1110"
"94087","313","57219","547"
"94089","279","22313","1250"
"94301","148","17191","861"
"94304","33","3902","846"
"94305","45","15730","286"
"94306","184","27549","668"
"95002","61","2146","2842"
"95008","607","46513","1305"
"95013","0","77","0"
"95014","235","62430","376"
"95020","2406","63852","3768"
"95030","101","13288","760"
"95032","239","26281","909"
"95035","919","77562","1185"
"95037","1032","51652","1998"
"95046","180","6025","2988"
"95050","659","39452","1670"
"95051","607","58123","1044"
"95053","0","3678","0"
"95054","336","24264","1385"
"95070","198","31308","632"
"95110","796","20203","3940"
"95111","2244","62392","3597"
"95112","1524","61060","2496"
"95113","81","1939","4177"
"95116","2262","56481","4005"
"95117","750","29592","2534"
"95118","482","32560","1480"
"95119","123","10472","1175"
"95120","293","37774","776"
"95121","824","38102","2163"
"95122","2609","57780","4515"
"95123","1261","67186","1877"
"95124","458","51170","895"
"95125","888","53574","1658"
"95126","807","35988","2242"
"95127","2284","65686","3477"
"95128","646","37665","1715"
"95129","266","39828","668"
"95130","131","14863","881"
"95131","396","31170","1270"
"95132","544","41844","1300"
"95133","606","28726","2110"
"95134","277","27224","1017"
"95135","151","22358","675"
"95136","1006","47599","2113"
"95138","309","20766","1488"
"95139","109","7293","1495"
"95140","0","115","0"
"95148","882","48854","1805"
