"zipcode","cases","population","rate"
"94022","2630","19378","13572"
"94024","2891","23961","12065"
"94040","5605","35845","15637"
"94041","2270","14394","15770"
"94043","4635","31488","14720"
"94085","4381","23612","18554"
"94086","7674","49630","15462"
"94087","8000","57219","13981"
"94089","4212","22313","18877"
"94301","2526","17191","14694"
"94304","711","3902","18221"
"94305","620","15730","3942"
"94306","3940","27549","14302"
"95002","569","2146","26514"
"95008","8869","46513","19068"
"95013","30","77","38961"
"95014","7421","62430","11887"
"95020","18866","63852","29546"
"95030","1620","13288","12191"
"95032","4251","26281","16175"
"95035","15144","77562","19525"
"95037","12384","51652","23976"
"95046","755","6025","12531"
"95050","8309","39452","21061"
"95051","10724","58123","18451"
"95053","207","3678","5628"
"95054","5204","24264","21447"
"95070","4022","31308","12847"
"95110","6649","20203","32911"
"95111","20308","62392","32549"
"95112","15739","61060","25776"
"95113","1033","1939","53275"
"95116","17067","56481","30217"
"95117","7132","29592","24101"
"95118","7251","32560","22270"
"95119","2696","10472","25745"
"95120","6030","37774","15963"
"95121","11078","38102","29075"
"95122","19459","57780","33678"
"95123","16927","67186","25194"
"95124","8813","51170","17223"
"95125","11847","53574","22113"
"95126","8862","35988","24625"
"95127","19714","65686","30012"
"95128","8738","37665","23199"
"95129","6031","39828","15143"
"95130","2340","14863","15744"
"95131","6312","31170","20250"
"95132","8246","41844","19707"
"95133","7008","28726","24396"
"95134","5238","27224","19240"
"95135","3306","22358","14787"
"95136","11724","47599","24631"
"95138","4115","20766","19816"
"95139","1506","7293","20650"
"95140","37","115","32174"
"95148","12330","48854","25238"
