"zipcode","cases","population","rate"
"94022","66","19378","341"
"94024","67","23961","280"
"94040","197","35845","550"
"94041","92","14394","639"
"94043","148","31488","470"
"94085","236","23612","999"
"94086","266","49630","536"
"94087","186","57219","325"
"94089","132","22313","592"
"94301","77","17191","448"
"94304","27","3902","692"
"94305","19","15730","121"
"94306","96","27549","348"
"95002","31","2146","1445"
"95008","295","46513","634"
"95013","0","77","0"
"95014","99","62430","159"
"95020","1228","63852","1923"
"95030","47","13288","354"
"95032","115","26281","438"
"95035","461","77562","594"
"95037","508","51652","984"
"95046","91","6025","1510"
"95050","319","39452","809"
"95051","310","58123","533"
"95053","0","3678","0"
"95054","217","24264","894"
"95070","86","31308","275"
"95110","387","20203","1916"
"95111","1190","62392","1907"
"95112","813","61060","1331"
"95113","46","1939","2372"
"95116","1240","56481","2195"
"95117","416","29592","1406"
"95118","240","32560","737"
"95119","54","10472","516"
"95120","158","37774","418"
"95121","384","38102","1008"
"95122","1388","57780","2402"
"95123","620","67186","923"
"95124","234","51170","457"
"95125","421","53574","786"
"95126","408","35988","1134"
"95127","1192","65686","1815"
"95128","338","37665","897"
"95129","116","39828","291"
"95130","72","14863","484"
"95131","196","31170","629"
"95132","254","41844","607"
"95133","312","28726","1086"
"95134","137","27224","503"
"95135","63","22358","282"
"95136","523","47599","1099"
"95138","146","20766","703"
"95139","49","7293","672"
"95140",,"115","0"
"95148","500","48854","1023"
