"zipcode","cases","population","rate"
"94022","391","19378","2018"
"94024","445","23961","1857"
"94040","1275","35845","3557"
"94041","554","14394","3849"
"94043","941","31488","2988"
"94085","1120","23612","4743"
"94086","1767","49630","3560"
"94087","1258","57219","2199"
"94089","961","22313","4307"
"94301","416","17191","2420"
"94304","115","3902","2947"
"94305","140","15730","890"
"94306","556","27549","2018"
"95002","177","2146","8248"
"95008","1864","46513","4007"
"95013","0","77","0"
"95014","808","62430","1294"
"95020","7086","63852","11098"
"95030","356","13288","2679"
"95032","737","26281","2804"
"95035","3333","77562","4297"
"95037","3306","51652","6401"
"95046","595","6025","9876"
"95050","1936","39452","4907"
"95051","1979","58123","3405"
"95053","0","3678","0"
"95054","1028","24264","4237"
"95070","582","31308","1859"
"95110","2134","20203","10563"
"95111","6688","62392","10719"
"95112","4560","61060","7468"
"95113","266","1939","13718"
"95116","6522","56481","11547"
"95117","2221","29592","7505"
"95118","1545","32560","4745"
"95119","553","10472","5281"
"95120","835","37774","2211"
"95121","3231","38102","8480"
"95122","7823","57780","13539"
"95123","4320","67186","6430"
"95124","1630","51170","3185"
"95125","2823","53574","5269"
"95126","2236","35988","6213"
"95127","6968","65686","10608"
"95128","2402","37665","6377"
"95129","964","39828","2420"
"95130","486","14863","3270"
"95131","1396","31170","4479"
"95132","1925","41844","4600"
"95133","2060","28726","7171"
"95134","834","27224","3063"
"95135","600","22358","2684"
"95136","2991","47599","6284"
"95138","951","20766","4580"
"95139","315","7293","4319"
"95140","11","115","9565"
"95148","3170","48854","6489"
