"zipcode","cases","population","rate"
"94022","79","19378","408"
"94024","76","23961","317"
"94040","250","35845","697"
"94041","126","14394","875"
"94043","189","31488","600"
"94085","260","23612","1101"
"94086","320","49630","645"
"94087","206","57219","360"
"94089","158","22313","708"
"94301","99","17191","576"
"94304","30","3902","769"
"94305","22","15730","140"
"94306","117","27549","425"
"95002","34","2146","1584"
"95008","351","46513","755"
"95013","0","77","0"
"95014","115","62430","184"
"95020","1498","63852","2346"
"95030","50","13288","376"
"95032","130","26281","495"
"95035","548","77562","707"
"95037","597","51652","1156"
"95046","116","6025","1925"
"95050","377","39452","956"
"95051","359","58123","618"
"95053","0","3678","0"
"95054","236","24264","973"
"95070","105","31308","335"
"95110","468","20203","2316"
"95111","1402","62392","2247"
"95112","906","61060","1484"
"95113","56","1939","2888"
"95116","1422","56481","2518"
"95117","476","29592","1609"
"95118","275","32560","845"
"95119","60","10472","573"
"95120","184","37774","487"
"95121","460","38102","1207"
"95122","1607","57780","2781"
"95123","741","67186","1103"
"95124","272","51170","532"
"95125","509","53574","950"
"95126","468","35988","1300"
"95127","1383","65686","2105"
"95128","380","37665","1009"
"95129","140","39828","352"
"95130","83","14863","558"
"95131","239","31170","767"
"95132","317","41844","758"
"95133","362","28726","1260"
"95134","153","27224","562"
"95135","82","22358","367"
"95136","613","47599","1288"
"95138","170","20766","819"
"95139","56","7293","768"
"95140","0","115","0"
"95148","557","48854","1140"
