"zipcode","cases","population","rate"
"94022","439","19378","2265"
"94024","481","23961","2007"
"94040","1390","35845","3878"
"94041","602","14394","4182"
"94043","1050","31488","3335"
"94085","1195","23612","5061"
"94086","1973","49630","3975"
"94087","1412","57219","2468"
"94089","1046","22313","4688"
"94301","453","17191","2635"
"94304","120","3902","3075"
"94305","159","15730","1011"
"94306","624","27549","2265"
"95002","182","2146","8481"
"95008","2048","46513","4403"
"95013","0","77","0"
"95014","929","62430","1488"
"95020","7375","63852","11550"
"95030","398","13288","2995"
"95032","817","26281","3109"
"95035","3659","77562","4718"
"95037","3525","51652","6825"
"95046","624","6025","10357"
"95050","2164","39452","5485"
"95051","2218","58123","3816"
"95053","49","3678","1332"
"95054","1118","24264","4608"
"95070","656","31308","2095"
"95110","2256","20203","11167"
"95111","7039","62392","11282"
"95112","4916","61060","8051"
"95113","288","1939","14853"
"95116","6855","56481","12137"
"95117","2359","29592","7972"
"95118","1675","32560","5144"
"95119","606","10472","5787"
"95120","927","37774","2454"
"95121","3460","38102","9081"
"95122","8210","57780","14209"
"95123","4679","67186","6964"
"95124","1795","51170","3508"
"95125","3015","53574","5628"
"95126","2363","35988","6566"
"95127","7368","65686","11217"
"95128","2546","37665","6760"
"95129","1072","39828","2692"
"95130","529","14863","3559"
"95131","1521","31170","4880"
"95132","2081","41844","4973"
"95133","2217","28726","7718"
"95134","984","27224","3614"
"95135","656","22358","2934"
"95136","3191","47599","6704"
"95138","1026","20766","4941"
"95139","341","7293","4676"
"95140","13","115","11304"
"95148","3370","48854","6898"
