"zipcode","cases","population","rate"
"94022","1394","19378","7194"
"94024","1595","23961","6657"
"94040","3535","35845","9862"
"94041","1448","14394","10060"
"94043","2924","31488","9286"
"94085","2966","23612","12561"
"94086","4969","49630","10012"
"94087","4746","57219","8294"
"94089","2867","22313","12849"
"94301","1421","17191","8266"
"94304","354","3902","9072"
"94305","1205","15730","7661"
"94306","2061","27549","7481"
"95002","424","2146","19758"
"95008","5951","46513","12794"
"95013","0","77","0"
"95014","3911","62430","6265"
"95020","14532","63852","22759"
"95030","1251","13288","9415"
"95032","2697","26281","10262"
"95035","9725","77562","12538"
"95037","8967","51652","17360"
"95046","1327","6025","22025"
"95050","5762","39452","14605"
"95051","6915","58123","11897"
"95053","143","3678","3888"
"95054","3246","24264","13378"
"95070","2232","31308","7129"
"95110","5055","20203","25021"
"95111","14855","62392","23809"
"95112","11507","61060","18845"
"95113","754","1939","38886"
"95116","13301","56481","23550"
"95117","5361","29592","18116"
"95118","5006","32560","15375"
"95119","1845","10472","17618"
"95120","3760","37774","9954"
"95121","7612","38102","19978"
"95122","14807","57780","25627"
"95123","11878","67186","17679"
"95124","5757","51170","11251"
"95125","8273","53574","15442"
"95126","6249","35988","17364"
"95127","15085","65686","22965"
"95128","6160","37665","16355"
"95129","3480","39828","8738"
"95130","1553","14863","10449"
"95131","3976","31170","12756"
"95132","5451","41844","13027"
"95133","4838","28726","16842"
"95134","3215","27224","11809"
"95135","1930","22358","8632"
"95136","8183","47599","17192"
"95138","2689","20766","12949"
"95139","1010","7293","13849"
"95140","27","115","23478"
"95148","8425","48854","17245"
