"zipcode","cases","population","rate"
"94022","743","19378","3834"
"94024","786","23961","3280"
"94040","1935","35845","5398"
"94041","824","14394","5725"
"94043","1565","31488","4970"
"94085","1636","23612","6929"
"94086","2710","49630","5460"
"94087","2302","57219","4023"
"94089","1486","22313","6660"
"94301","718","17191","4177"
"94304","167","3902","4280"
"94305","407","15730","2587"
"94306","1046","27549","3797"
"95002","244","2146","11370"
"95008","3208","46513","6897"
"95013","0","77","0"
"95014","1617","62430","2590"
"95020","9443","63852","14789"
"95030","669","13288","5035"
"95032","1347","26281","5125"
"95035","5068","77562","6534"
"95037","5249","51652","10162"
"95046","849","6025","14091"
"95050","3064","39452","7766"
"95051","3368","58123","5795"
"95053","51","3678","1387"
"95054","1664","24264","6858"
"95070","1135","31308","3625"
"95110","2977","20203","14735"
"95111","8992","62392","14412"
"95112","6731","61060","11024"
"95113","443","1939","22847"
"95116","8421","56481","14909"
"95117","3131","29592","10581"
"95118","2598","32560","7979"
"95119","983","10472","9387"
"95120","1751","37774","4635"
"95121","4386","38102","11511"
"95122","9787","57780","16938"
"95123","6713","67186","9992"
"95124","2986","51170","5835"
"95125","4614","53574","8612"
"95126","3489","35988","9695"
"95127","9341","65686","14221"
"95128","3527","37665","9364"
"95129","1623","39828","4075"
"95130","807","14863","5430"
"95131","2085","31170","6689"
"95132","2850","41844","6811"
"95133","2793","28726","9723"
"95134","1476","27224","5422"
"95135","1017","22358","4549"
"95136","4584","47599","9630"
"95138","1469","20766","7074"
"95139","532","7293","7295"
"95140","15","115","13043"
"95148","4522","48854","9256"
