"zipcode","cases","population","rate"
"94022","65","19378","335"
"94024","65","23961","271"
"94040","194","35845","541"
"94041","87","14394","604"
"94043","141","31488","448"
"94085","234","23612","991"
"94086","253","49630","510"
"94087","179","57219","313"
"94089","128","22313","574"
"94301","77","17191","448"
"94304","27","3902","692"
"94305","18","15730","114"
"94306","94","27549","341"
"95002","31","2146","1445"
"95008","295","46513","634"
"95013","0","77","0"
"95014","98","62430","157"
"95020","1170","63852","1832"
"95030","45","13288","339"
"95032","112","26281","426"
"95035","453","77562","584"
"95037","501","51652","970"
"95046","85","6025","1411"
"95050","312","39452","791"
"95051","305","58123","525"
"95053","0","3678","0"
"95054","214","24264","882"
"95070","86","31308","275"
"95110","380","20203","1881"
"95111","1158","62392","1856"
"95112","799","61060","1309"
"95113","46","1939","2372"
"95116","1227","56481","2172"
"95117","406","29592","1372"
"95118","234","32560","719"
"95119","53","10472","506"
"95120","152","37774","402"
"95121","375","38102","984"
"95122","1366","57780","2364"
"95123","607","67186","903"
"95124","226","51170","442"
"95125","416","53574","776"
"95126","404","35988","1123"
"95127","1161","65686","1767"
"95128","334","37665","887"
"95129","115","39828","289"
"95130","70","14863","471"
"95131","193","31170","619"
"95132","245","41844","586"
"95133","303","28726","1055"
"95134","138","27224","507"
"95135","62","22358","277"
"95136","514","47599","1080"
"95138","144","20766","693"
"95139","49","7293","672"
"95140","0","115","0"
"95148","497","48854","1017"
