"zipcode","cases","population","rate"
"94022","382","19378","1971"
"94024","432","23961","1803"
"94040","1254","35845","3498"
"94041","552","14394","3835"
"94043","929","31488","2950"
"94085","1106","23612","4684"
"94086","1735","49630","3496"
"94087","1232","57219","2153"
"94089","954","22313","4276"
"94301","415","17191","2414"
"94304","115","3902","2947"
"94305","138","15730","877"
"94306","551","27549","2000"
"95002","176","2146","8201"
"95008","1840","46513","3956"
"95013","0","77","0"
"95014","798","62430","1278"
"95020","6982","63852","10935"
"95030","351","13288","2641"
"95032","726","26281","2762"
"95035","3283","77562","4233"
"95037","3250","51652","6292"
"95046","587","6025","9743"
"95050","1910","39452","4841"
"95051","1921","58123","3305"
"95053","0","3678","0"
"95054","1010","24264","4163"
"95070","564","31308","1801"
"95110","2103","20203","10409"
"95111","6558","62392","10511"
"95112","4482","61060","7340"
"95113","254","1939","13100"
"95116","6444","56481","11409"
"95117","2192","29592","7407"
"95118","1524","32560","4681"
"95119","547","10472","5223"
"95120","814","37774","2155"
"95121","3172","38102","8325"
"95122","7720","57780","13361"
"95123","4257","67186","6336"
"95124","1598","51170","3123"
"95125","2772","53574","5174"
"95126","2195","35988","6099"
"95127","6856","65686","10438"
"95128","2364","37665","6276"
"95129","951","39828","2388"
"95130","472","14863","3176"
"95131","1372","31170","4402"
"95132","1869","41844","4467"
"95133","2015","28726","7015"
"95134","811","27224","2979"
"95135","585","22358","2617"
"95136","2935","47599","6166"
"95138","927","20766","4464"
"95139","311","7293","4264"
"95140","11","115","9565"
"95148","3100","48854","6345"
