"zipcode","cases","population","rate"
"94022","43","19378","222"
"94024","41","23961","171"
"94040","74","35845","206"
"94041","49","14394","340"
"94043","68","31488","216"
"94085","114","23612","483"
"94086","137","49630","276"
"94087","118","57219","206"
"94089","68","22313","305"
"94301","52","17191","302"
"94304","18","3902","461"
"94305","11","15730","70"
"94306","47","27549","171"
"95002","19","2146","885"
"95008","178","46513","383"
"95013","0","77","0"
"95014","69","62430","111"
"95020","484","63852","758"
"95030","32","13288","241"
"95032","52","26281","198"
"95035","224","77562","289"
"95037","224","51652","434"
"95046","45","6025","747"
"95050","172","39452","436"
"95051","175","58123","301"
"95053","0","3678","0"
"95054","124","24264","511"
"95070","52","31308","166"
"95110","162","20203","802"
"95111","547","62392","877"
"95112","397","61060","650"
"95113","28","1939","1444"
"95116","658","56481","1165"
"95117","217","29592","733"
"95118","116","32560","356"
"95119","33","10472","315"
"95120","95","37774","251"
"95121","169","38102","444"
"95122","622","57780","1076"
"95123","316","67186","470"
"95124","122","51170","238"
"95125","218","53574","407"
"95126","199","35988","553"
"95127","597","65686","909"
"95128","172","37665","457"
"95129","75","39828","188"
"95130","40","14863","269"
"95131","104","31170","334"
"95132","128","41844","306"
"95133","163","28726","567"
"95134","73","27224","268"
"95135","37","22358","165"
"95136","269","47599","565"
"95138","84","20766","405"
"95139","24","7293","329"
"95140",,"115",
"95148","257","48854","526"
