"zipcode","cases","population","rate"
"94022","360","19378","1858"
"94024","408","23961","1703"
"94040","1213","35845","3384"
"94041","510","14394","3543"
"94043","887","31488","2817"
"94085","1050","23612","4447"
"94086","1665","49630","3355"
"94087","1181","57219","2064"
"94089","912","22313","4087"
"94301","405","17191","2356"
"94304","114","3902","2922"
"94305","136","15730","865"
"94306","527","27549","1913"
"95002","170","2146","7922"
"95008","1788","46513","3844"
"95013","0","77","0"
"95014","757","62430","1213"
"95020","6700","63852","10493"
"95030","331","13288","2491"
"95032","690","26281","2625"
"95035","3135","77562","4042"
"95037","3089","51652","5980"
"95046","572","6025","9494"
"95050","1807","39452","4580"
"95051","1824","58123","3138"
"95053","0","3678","0"
"95054","981","24264","4043"
"95070","541","31308","1728"
"95110","2051","20203","10152"
"95111","6315","62392","10121"
"95112","4331","61060","7093"
"95113","238","1939","12274"
"95116","6211","56481","10997"
"95117","2113","29592","7140"
"95118","1471","32560","4518"
"95119","526","10472","5023"
"95120","787","37774","2083"
"95121","3072","38102","8063"
"95122","7474","57780","12935"
"95123","4100","67186","6102"
"95124","1505","51170","2941"
"95125","2648","53574","4943"
"95126","2110","35988","5863"
"95127","6603","65686","10052"
"95128","2285","37665","6067"
"95129","926","39828","2325"
"95130","449","14863","3021"
"95131","1327","31170","4257"
"95132","1774","41844","4240"
"95133","1898","28726","6607"
"95134","768","27224","2821"
"95135","569","22358","2545"
"95136","2835","47599","5956"
"95138","898","20766","4324"
"95139","304","7293","4168"
"95140","0","115","0"
"95148","2962","48854","6063"
