"zipcode","cases","population","rate"
"94022","430","19378","2219"
"94024","476","23961","1987"
"94040","1374","35845","3833"
"94041","585","14394","4064"
"94043","1024","31488","3252"
"94085","1177","23612","4985"
"94086","1910","49630","3848"
"94087","1376","57219","2405"
"94089","1023","22313","4585"
"94301","447","17191","2600"
"94304","117","3902","2998"
"94305","157","15730","998"
"94306","607","27549","2203"
"95002","183","2146","8527"
"95008","1999","46513","4298"
"95013","0","77","0"
"95014","899","62430","1440"
"95020","7314","63852","11455"
"95030","390","13288","2935"
"95032","808","26281","3074"
"95035","3583","77562","4620"
"95037","3500","51652","6776"
"95046","625","6025","10373"
"95050","2115","39452","5361"
"95051","2154","58123","3706"
"95053","67","3678","1822"
"95054","1109","24264","4571"
"95070","633","31308","2022"
"95110","2255","20203","11162"
"95111","6978","62392","11184"
"95112","4845","61060","7935"
"95113","287","1939","14801"
"95116","6803","56481","12045"
"95117","2333","29592","7884"
"95118","1641","32560","5040"
"95119","608","10472","5806"
"95120","913","37774","2417"
"95121","3410","38102","8950"
"95122","8155","57780","14114"
"95123","4627","67186","6887"
"95124","1747","51170","3414"
"95125","2985","53574","5572"
"95126","2342","35988","6508"
"95127","7308","65686","11126"
"95128","2536","37665","6733"
"95129","1053","39828","2644"
"95130","518","14863","3485"
"95131","1508","31170","4838"
"95132","2055","41844","4911"
"95133","2186","28726","7610"
"95134","924","27224","3394"
"95135","635","22358","2840"
"95136","3167","47599","6654"
"95138","1008","20766","4854"
"95139","335","7293","4593"
"95140","12","115","10435"
"95148","3329","48854","6814"
