"zipcode","cases","population","rate"
"94022","331","19378","1708"
"94024","360","23961","1502"
"94040","1076","35845","3002"
"94041","456","14394","3168"
"94043","778","31488","2471"
"94085","907","23612","3841"
"94086","1451","49630","2924"
"94087","1014","57219","1772"
"94089","828","22313","3711"
"94301","357","17191","2077"
"94304","112","3902","2870"
"94305","113","15730","718"
"94306","429","27549","1557"
"95002","149","2146","6943"
"95008","1572","46513","3380"
"95013","0","77","0"
"95014","675","62430","1081"
"95020","5955","63852","9326"
"95030","297","13288","2235"
"95032","591","26281","2249"
"95035","2779","77562","3583"
"95037","2753","51652","5330"
"95046","517","6025","8581"
"95050","1565","39452","3967"
"95051","1614","58123","2777"
"95053","0","3678","0"
"95054","859","24264","3540"
"95070","475","31308","1517"
"95110","1842","20203","9117"
"95111","5686","62392","9113"
"95112","3881","61060","6356"
"95113","198","1939","10211"
"95116","5564","56481","9851"
"95117","1879","29592","6350"
"95118","1320","32560","4054"
"95119","461","10472","4402"
"95120","685","37774","1813"
"95121","2754","38102","7228"
"95122","6655","57780","11518"
"95123","3645","67186","5425"
"95124","1345","51170","2628"
"95125","2300","53574","4293"
"95126","1890","35988","5252"
"95127","5896","65686","8976"
"95128","2034","37665","5400"
"95129","825","39828","2071"
"95130","411","14863","2765"
"95131","1186","31170","3805"
"95132","1599","41844","3821"
"95133","1631","28726","5678"
"95134","677","27224","2487"
"95135","516","22358","2308"
"95136","2541","47599","5338"
"95138","797","20766","3838"
"95139","276","7293","3784"
"95140","0","115","0"
"95148","2596","48854","5314"
