"zipcode","cases","population","rate"
"94022","352","19378","1816"
"94024","385","23961","1607"
"94040","1169","35845","3261"
"94041","494","14394","3432"
"94043","851","31488","2703"
"94085","1005","23612","4256"
"94086","1598","49630","3220"
"94087","1141","57219","1994"
"94089","892","22313","3998"
"94301","394","17191","2292"
"94304","113","3902","2896"
"94305","128","15730","814"
"94306","499","27549","1811"
"95002","164","2146","7642"
"95008","1703","46513","3661"
"95013","0","77","0"
"95014","728","62430","1166"
"95020","6499","63852","10178"
"95030","319","13288","2401"
"95032","655","26281","2492"
"95035","3048","77562","3930"
"95037","2963","51652","5736"
"95046","551","6025","9145"
"95050","1737","39452","4403"
"95051","1764","58123","3035"
"95053","0","3678","0"
"95054","962","24264","3965"
"95070","527","31308","1683"
"95110","2015","20203","9974"
"95111","6166","62392","9883"
"95112","4209","61060","6893"
"95113","235","1939","12120"
"95116","6071","56481","10749"
"95117","2059","29592","6958"
"95118","1439","32560","4420"
"95119","511","10472","4880"
"95120","758","37774","2007"
"95121","2993","38102","7855"
"95122","7242","57780","12534"
"95123","4008","67186","5966"
"95124","1464","51170","2861"
"95125","2542","53574","4745"
"95126","2030","35988","5641"
"95127","6406","65686","9752"
"95128","2221","37665","5897"
"95129","910","39828","2285"
"95130","441","14863","2967"
"95131","1296","31170","4158"
"95132","1717","41844","4103"
"95133","1833","28726","6381"
"95134","742","27224","2726"
"95135","557","22358","2491"
"95136","2767","47599","5813"
"95138","864","20766","4161"
"95139","299","7293","4100"
"95140","0","115","0"
"95148","2860","48854","5854"
