"zipcode","cases","population","rate"
"94022","55","19378","284"
"94024","47","23961","196"
"94040","132","35845","368"
"94041","62","14394","431"
"94043","98","31488","311"
"94085","166","23612","703"
"94086","198","49630","399"
"94087","149","57219","260"
"94089","108","22313","484"
"94301","62","17191","361"
"94304","22","3902","564"
"94305","14","15730","89"
"94306","68","27549","247"
"95002","26","2146","1212"
"95008","241","46513","518"
"95013","0","77","0"
"95014","87","62430","139"
"95020","854","63852","1337"
"95030","42","13288","316"
"95032","70","26281","266"
"95035","351","77562","453"
"95037","380","51652","736"
"95046","62","6025","1029"
"95050","232","39452","588"
"95051","254","58123","437"
"95053","0","3678","0"
"95054","179","24264","738"
"95070","62","31308","198"
"95110","301","20203","1490"
"95111","905","62392","1451"
"95112","621","61060","1017"
"95113","42","1939","2166"
"95116","962","56481","1703"
"95117","319","29592","1078"
"95118","184","32560","565"
"95119","43","10472","411"
"95120","127","37774","336"
"95121","282","38102","740"
"95122","1001","57780","1732"
"95123","481","67186","716"
"95124","181","51170","354"
"95125","318","53574","594"
"95126","315","35988","875"
"95127","909","65686","1384"
"95128","251","37665","666"
"95129","96","39828","241"
"95130","60","14863","404"
"95131","157","31170","504"
"95132","175","41844","418"
"95133","228","28726","794"
"95134","108","27224","397"
"95135","51","22358","228"
"95136","410","47599","861"
"95138","119","20766","573"
"95139","35","7293","480"
"95140",,"115","0"
"95148","399","48854","817"
