"zipcode","cases","population","rate"
"94022","70","19378","361"
"94024","70","23961","292"
"94040","227","35845","633"
"94041","114","14394","792"
"94043","172","31488","546"
"94085","250","23612","1059"
"94086","286","49630","576"
"94087","190","57219","332"
"94089","138","22313","618"
"94301","79","17191","460"
"94304","28","3902","718"
"94305","19","15730","121"
"94306","105","27549","381"
"95002","32","2146","1491"
"95008","310","46513","666"
"95013","0","77","0"
"95014","102","62430","163"
"95020","1326","63852","2077"
"95030","47","13288","354"
"95032","124","26281","472"
"95035","493","77562","636"
"95037","544","51652","1053"
"95046","100","6025","1660"
"95050","338","39452","857"
"95051","334","58123","575"
"95053","0","3678","0"
"95054","223","24264","919"
"95070","101","31308","323"
"95110","406","20203","2010"
"95111","1266","62392","2029"
"95112","854","61060","1399"
"95113","50","1939","2579"
"95116","1309","56481","2318"
"95117","440","29592","1487"
"95118","250","32560","768"
"95119","55","10472","525"
"95120","170","37774","450"
"95121","417","38102","1094"
"95122","1475","57780","2553"
"95123","677","67186","1008"
"95124","246","51170","481"
"95125","466","53574","870"
"95126","429","35988","1192"
"95127","1277","65686","1944"
"95128","358","37665","950"
"95129","126","39828","316"
"95130","76","14863","511"
"95131","217","31170","696"
"95132","289","41844","691"
"95133","341","28726","1187"
"95134","142","27224","522"
"95135","70","22358","313"
"95136","554","47599","1164"
"95138","156","20766","751"
"95139","54","7293","740"
"95140",,"115","0"
"95148","519","48854","1062"
