"zipcode","cases","population","rate"
"94022","40","19378","206"
"94024","40","23961","167"
"94040","57","35845","159"
"94041","46","14394","320"
"94043","58","31488","184"
"94085","104","23612","440"
"94086","123","49630","248"
"94087","111","57219","194"
"94089","62","22313","278"
"94301","46","17191","268"
"94304","18","3902","461"
"94305",,"15730",
"94306","45","27549","163"
"95002","19","2146","885"
"95008","166","46513","357"
"95013","0","77","0"
"95014","62","62430","99"
"95020","429","63852","672"
"95030","32","13288","241"
"95032","52","26281","198"
"95035","191","77562","246"
"95037","199","51652","385"
"95046","43","6025","714"
"95050","150","39452","380"
"95051","161","58123","277"
"95053","0","3678","0"
"95054","112","24264","462"
"95070","48","31308","153"
"95110","148","20203","733"
"95111","505","62392","809"
"95112","351","61060","575"
"95113","27","1939","1392"
"95116","589","56481","1043"
"95117","193","29592","652"
"95118","102","32560","313"
"95119","28","10472","267"
"95120","92","37774","244"
"95121","153","38102","402"
"95122","554","57780","959"
"95123","286","67186","426"
"95124","111","51170","217"
"95125","192","53574","358"
"95126","174","35988","483"
"95127","547","65686","833"
"95128","156","37665","414"
"95129","68","39828","171"
"95130","37","14863","249"
"95131","97","31170","311"
"95132","119","41844","284"
"95133","144","28726","501"
"95134","66","27224","242"
"95135","33","22358","148"
"95136","242","47599","508"
"95138","76","20766","366"
"95139","23","7293","315"
"95140",,"115",
"95148","235","48854","481"
