"zipcode","cases","population","rate"
"94022","53","19378","274"
"94024","44","23961","184"
"94040","90","35845","251"
"94041","55","14394","382"
"94043","84","31488","267"
"94085","138","23612","584"
"94086","167","49630","336"
"94087","130","57219","227"
"94089","90","22313","403"
"94301","56","17191","326"
"94304","19","3902","487"
"94305","11","15730","70"
"94306","61","27549","221"
"95002","21","2146","979"
"95008","198","46513","426"
"95013","0","77","0"
"95014","79","62430","127"
"95020","645","63852","1010"
"95030","36","13288","271"
"95032","52","26281","198"
"95035","291","77562","375"
"95037","286","51652","554"
"95046","51","6025","846"
"95050","202","39452","512"
"95051","213","58123","366"
"95053","0","3678","0"
"95054","146","24264","602"
"95070","56","31308","179"
"95110","244","20203","1208"
"95111","720","62392","1154"
"95112","499","61060","817"
"95113","37","1939","1908"
"95116","854","56481","1512"
"95117","272","29592","919"
"95118","154","32560","473"
"95119","39","10472","372"
"95120","117","37774","310"
"95121","227","38102","596"
"95122","790","57780","1367"
"95123","388","67186","578"
"95124","162","51170","317"
"95125","256","53574","478"
"95126","259","35988","720"
"95127","743","65686","1131"
"95128","209","37665","555"
"95129","84","39828","211"
"95130","46","14863","309"
"95131","131","31170","420"
"95132","150","41844","358"
"95133","201","28726","700"
"95134","85","27224","312"
"95135","44","22358","197"
"95136","339","47599","712"
"95138","98","20766","472"
"95139","29","7293","398"
"95140",,"115",
"95148","338","48854","692"
