"zipcode","cases","population","rate"
"94022","191","19378","986"
"94024","178","23961","743"
"94040","679","35845","1894"
"94041","237","14394","1647"
"94043","409","31488","1299"
"94085","491","23612","2079"
"94086","716","49630","1443"
"94087","461","57219","806"
"94089","440","22313","1972"
"94301","203","17191","1181"
"94304","59","3902","1512"
"94305","48","15730","305"
"94306","251","27549","911"
"95002","99","2146","4613"
"95008","895","46513","1924"
"95013","0","77","0"
"95014","321","62430","514"
"95020","3460","63852","5419"
"95030","190","13288","1430"
"95032","320","26281","1218"
"95035","1413","77562","1822"
"95037","1500","51652","2904"
"95046","280","6025","4647"
"95050","889","39452","2253"
"95051","838","58123","1442"
"95053","0","3678","0"
"95054","472","24264","1945"
"95070","256","31308","818"
"95110","1092","20203","5405"
"95111","3300","62392","5289"
"95112","2157","61060","3533"
"95113","111","1939","5725"
"95116","3127","56481","5536"
"95117","967","29592","3268"
"95118","670","32560","2058"
"95119","227","10472","2168"
"95120","368","37774","974"
"95121","1404","38102","3685"
"95122","3775","57780","6533"
"95123","1867","67186","2779"
"95124","645","51170","1261"
"95125","1233","53574","2301"
"95126","1096","35988","3045"
"95127","3305","65686","5032"
"95128","1018","37665","2703"
"95129","459","39828","1152"
"95130","193","14863","1299"
"95131","615","31170","1973"
"95132","857","41844","2048"
"95133","877","28726","3053"
"95134","396","27224","1455"
"95135","244","22358","1091"
"95136","1415","47599","2973"
"95138","462","20766","2225"
"95139","145","7293","1988"
"95140","0","115","0"
"95148","1357","48854","2778"
