"zipcode","cases","population","rate"
"94022","312","19378","1610"
"94024","330","23961","1377"
"94040","1005","35845","2804"
"94041","405","14394","2814"
"94043","699","31488","2220"
"94085","829","23612","3511"
"94086","1313","49630","2646"
"94087","925","57219","1617"
"94089","738","22313","3307"
"94301","332","17191","1931"
"94304","99","3902","2537"
"94305","106","15730","674"
"94306","382","27549","1387"
"95002","138","2146","6431"
"95008","1452","46513","3122"
"95013","0","77","0"
"95014","627","62430","1004"
"95020","5539","63852","8675"
"95030","279","13288","2100"
"95032","550","26281","2093"
"95035","2534","77562","3267"
"95037","2537","51652","4912"
"95046","476","6025","7900"
"95050","1418","39452","3594"
"95051","1455","58123","2503"
"95053","0","3678","0"
"95054","789","24264","3252"
"95070","442","31308","1412"
"95110","1705","20203","8439"
"95111","5289","62392","8477"
"95112","3598","61060","5893"
"95113","180","1939","9283"
"95116","5135","56481","9092"
"95117","1713","29592","5789"
"95118","1210","32560","3716"
"95119","425","10472","4058"
"95120","619","37774","1639"
"95121","2537","38102","6658"
"95122","6158","57780","10658"
"95123","3295","67186","4904"
"95124","1207","51170","2359"
"95125","2108","53574","3935"
"95126","1758","35988","4885"
"95127","5365","65686","8168"
"95128","1878","37665","4986"
"95129","748","39828","1878"
"95130","356","14863","2395"
"95131","1096","31170","3516"
"95132","1433","41844","3425"
"95133","1504","28726","5236"
"95134","606","27224","2226"
"95135","463","22358","2071"
"95136","2364","47599","4966"
"95138","738","20766","3554"
"95139","238","7293","3263"
"95140","0","115","0"
"95148","2378","48854","4868"
