"zipcode","cases","population","rate"
"94022","373","19378","1925"
"94024","414","23961","1728"
"94040","1230","35845","3431"
"94041","534","14394","3710"
"94043","902","31488","2865"
"94085","1081","23612","4578"
"94086","1689","49630","3403"
"94087","1195","57219","2088"
"94089","933","22313","4181"
"94301","410","17191","2385"
"94304","113","3902","2896"
"94305","137","15730","871"
"94306","542","27549","1967"
"95002","172","2146","8015"
"95008","1807","46513","3885"
"95013","0","77","0"
"95014","779","62430","1248"
"95020","6809","63852","10664"
"95030","339","13288","2551"
"95032","703","26281","2675"
"95035","3197","77562","4122"
"95037","3158","51652","6114"
"95046","575","6025","9544"
"95050","1845","39452","4677"
"95051","1857","58123","3195"
"95053","0","3678","0"
"95054","986","24264","4064"
"95070","547","31308","1747"
"95110","2067","20203","10231"
"95111","6395","62392","10250"
"95112","4380","61060","7173"
"95113","241","1939","12429"
"95116","6302","56481","11158"
"95117","2150","29592","7265"
"95118","1490","32560","4576"
"95119","537","10472","5128"
"95120","799","37774","2115"
"95121","3111","38102","8165"
"95122","7587","57780","13131"
"95123","4168","67186","6204"
"95124","1554","51170","3037"
"95125","2695","53574","5030"
"95126","2153","35988","5983"
"95127","6697","65686","10195"
"95128","2315","37665","6146"
"95129","941","39828","2363"
"95130","463","14863","3115"
"95131","1336","31170","4286"
"95132","1802","41844","4306"
"95133","1931","28726","6722"
"95134","792","27224","2909"
"95135","572","22358","2558"
"95136","2873","47599","6036"
"95138","918","20766","4421"
"95139","308","7293","4223"
"95140","0","115","0"
"95148","3014","48854","6169"
