"zipcode","cases","population","rate"
"94022","312","19378","1610"
"94024","336","23961","1402"
"94040","1019","35845","2843"
"94041","418","14394","2904"
"94043","708","31488","2248"
"94085","841","23612","3562"
"94086","1335","49630","2690"
"94087","935","57219","1634"
"94089","749","22313","3357"
"94301","334","17191","1943"
"94304","99","3902","2537"
"94305","108","15730","687"
"94306","386","27549","1401"
"95002","139","2146","6477"
"95008","1463","46513","3145"
"95013","0","77","0"
"95014","635","62430","1017"
"95020","5584","63852","8745"
"95030","281","13288","2115"
"95032","556","26281","2116"
"95035","2584","77562","3332"
"95037","2559","51652","4954"
"95046","482","6025","8000"
"95050","1443","39452","3658"
"95051","1480","58123","2546"
"95053","0","3678","0"
"95054","798","24264","3289"
"95070","446","31308","1425"
"95110","1722","20203","8523"
"95111","5361","62392","8592"
"95112","3636","61060","5955"
"95113","183","1939","9438"
"95116","5192","56481","9192"
"95117","1736","29592","5866"
"95118","1227","32560","3768"
"95119","434","10472","4144"
"95120","626","37774","1657"
"95121","2568","38102","6740"
"95122","6227","57780","10777"
"95123","3343","67186","4976"
"95124","1219","51170","2382"
"95125","2127","53574","3970"
"95126","1773","35988","4927"
"95127","5431","65686","8268"
"95128","1903","37665","5052"
"95129","753","39828","1891"
"95130","367","14863","2469"
"95131","1111","31170","3564"
"95132","1466","41844","3503"
"95133","1521","28726","5295"
"95134","626","27224","2299"
"95135","475","22358","2125"
"95136","2403","47599","5048"
"95138","746","20766","3592"
"95139","244","7293","3346"
"95140","0","115","0"
"95148","2410","48854","4933"
