"zipcode","cases","population","rate"
"94022","188","19378","970"
"94024","177","23961","739"
"94040","674","35845","1880"
"94041","235","14394","1633"
"94043","407","31488","1293"
"94085","481","23612","2037"
"94086","708","49630","1427"
"94087","454","57219","793"
"94089","429","22313","1923"
"94301","193","17191","1123"
"94304","59","3902","1512"
"94305","47","15730","299"
"94306","250","27549","907"
"95002","96","2146","4473"
"95008","884","46513","1901"
"95013","0","77","0"
"95014","316","62430","506"
"95020","3412","63852","5344"
"95030","187","13288","1407"
"95032","317","26281","1206"
"95035","1389","77562","1791"
"95037","1489","51652","2883"
"95046","276","6025","4581"
"95050","884","39452","2241"
"95051","827","58123","1423"
"95053","0","3678","0"
"95054","466","24264","1921"
"95070","253","31308","808"
"95110","1090","20203","5395"
"95111","3246","62392","5203"
"95112","2122","61060","3475"
"95113","109","1939","5621"
"95116","3067","56481","5430"
"95117","960","29592","3244"
"95118","655","32560","2012"
"95119","225","10472","2149"
"95120","364","37774","964"
"95121","1360","38102","3569"
"95122","3723","57780","6443"
"95123","1843","67186","2743"
"95124","638","51170","1247"
"95125","1214","53574","2266"
"95126","1084","35988","3012"
"95127","3267","65686","4974"
"95128","1000","37665","2655"
"95129","450","39828","1130"
"95130","189","14863","1272"
"95131","602","31170","1931"
"95132","846","41844","2022"
"95133","860","28726","2994"
"95134","386","27224","1418"
"95135","241","22358","1078"
"95136","1397","47599","2935"
"95138","456","20766","2196"
"95139","145","7293","1988"
"95140","0","115","0"
"95148","1341","48854","2745"
