"zipcode","cases","population","rate"
"94022","97","19378","501"
"94024","85","23961","355"
"94040","315","35845","879"
"94041","144","14394","1000"
"94043","210","31488","667"
"94085","295","23612","1249"
"94086","388","49630","782"
"94087","240","57219","419"
"94089","188","22313","843"
"94301","121","17191","704"
"94304","30","3902","769"
"94305","26","15730","165"
"94306","131","27549","476"
"95002","38","2146","1771"
"95008","445","46513","957"
"95013","0","77","0"
"95014","152","62430","243"
"95020","1720","63852","2694"
"95030","65","13288","489"
"95032","160","26281","609"
"95035","666","77562","859"
"95037","701","51652","1357"
"95046","135","6025","2241"
"95050","496","39452","1257"
"95051","420","58123","723"
"95053","0","3678","0"
"95054","271","24264","1117"
"95070","143","31308","457"
"95110","589","20203","2915"
"95111","1670","62392","2677"
"95112","1089","61060","1783"
"95113","63","1939","3249"
"95116","1662","56481","2943"
"95117","574","29592","1940"
"95118","365","32560","1121"
"95119","74","10472","707"
"95120","223","37774","590"
"95121","544","38102","1428"
"95122","1926","57780","3333"
"95123","892","67186","1328"
"95124","343","51170","670"
"95125","627","53574","1170"
"95126","587","35988","1631"
"95127","1654","65686","2518"
"95128","452","37665","1200"
"95129","170","39828","427"
"95130","102","14863","686"
"95131","278","31170","892"
"95132","373","41844","891"
"95133","431","28726","1500"
"95134","184","27224","676"
"95135","92","22358","411"
"95136","721","47599","1515"
"95138","200","20766","963"
"95139","62","7293","850"
"95140","0","115","0"
"95148","625","48854","1279"
