"zipcode","cases","population","rate"
"94022","69","19378","356"
"94024","71","23961","296"
"94040","231","35845","644"
"94041","114","14394","792"
"94043","175","31488","556"
"94085","251","23612","1063"
"94086","287","49630","578"
"94087","193","57219","337"
"94089","139","22313","623"
"94301","82","17191","477"
"94304","28","3902","718"
"94305","20","15730","127"
"94306","105","27549","381"
"95002","32","2146","1491"
"95008","312","46513","671"
"95013","0","77","0"
"95014","104","62430","167"
"95020","1341","63852","2100"
"95030","48","13288","361"
"95032","126","26281","479"
"95035","495","77562","638"
"95037","554","51652","1073"
"95046","100","6025","1660"
"95050","341","39452","864"
"95051","340","58123","585"
"95053","0","3678","0"
"95054","225","24264","927"
"95070","102","31308","326"
"95110","410","20203","2029"
"95111","1278","62392","2048"
"95112","858","61060","1405"
"95113","51","1939","2630"
"95116","1323","56481","2342"
"95117","443","29592","1497"
"95118","255","32560","783"
"95119","56","10472","535"
"95120","170","37774","450"
"95121","426","38102","1118"
"95122","1492","57780","2582"
"95123","681","67186","1014"
"95124","252","51170","492"
"95125","472","53574","881"
"95126","432","35988","1200"
"95127","1292","65686","1967"
"95128","359","37665","953"
"95129","127","39828","319"
"95130","75","14863","505"
"95131","219","31170","703"
"95132","293","41844","700"
"95133","344","28726","1198"
"95134","142","27224","522"
"95135","72","22358","322"
"95136","562","47599","1181"
"95138","160","20766","770"
"95139","54","7293","740"
"95140","0","115","0"
"95148","523","48854","1071"
