"zipcode","cases","population","rate"
"94022","389","19378","2007"
"94024","438","23961","1828"
"94040","1258","35845","3510"
"94041","552","14394","3835"
"94043","935","31488","2969"
"94085","1109","23612","4697"
"94086","1746","49630","3518"
"94087","1244","57219","2174"
"94089","956","22313","4284"
"94301","416","17191","2420"
"94304","115","3902","2947"
"94305","139","15730","884"
"94306","552","27549","2004"
"95002","176","2146","8201"
"95008","1851","46513","3980"
"95013","0","77","0"
"95014","801","62430","1283"
"95020","7011","63852","10980"
"95030","355","13288","2672"
"95032","733","26281","2789"
"95035","3293","77562","4246"
"95037","3264","51652","6319"
"95046","585","6025","9710"
"95050","1922","39452","4872"
"95051","1941","58123","3339"
"95053","0","3678","0"
"95054","1017","24264","4191"
"95070","578","31308","1846"
"95110","2109","20203","10439"
"95111","6601","62392","10580"
"95112","4517","61060","7398"
"95113","255","1939","13151"
"95116","6464","56481","11445"
"95117","2199","29592","7431"
"95118","1526","32560","4687"
"95119","548","10472","5233"
"95120","822","37774","2176"
"95121","3199","38102","8396"
"95122","7756","57780","13423"
"95123","4270","67186","6355"
"95124","1603","51170","3133"
"95125","2788","53574","5204"
"95126","2206","35988","6130"
"95127","6889","65686","10488"
"95128","2380","37665","6319"
"95129","955","39828","2398"
"95130","474","14863","3189"
"95131","1381","31170","4431"
"95132","1889","41844","4514"
"95133","2033","28726","7077"
"95134","817","27224","3001"
"95135","586","22358","2621"
"95136","2946","47599","6189"
"95138","937","20766","4512"
"95139","311","7293","4264"
"95140","11","115","9565"
"95148","3124","48854","6395"
