"zipcode","cases","population","rate"
"94022","71","19378","366"
"94024","73","23961","305"
"94040","236","35845","658"
"94041","116","14394","806"
"94043","175","31488","556"
"94085","252","23612","1067"
"94086","289","49630","582"
"94087","196","57219","343"
"94089","140","22313","627"
"94301","84","17191","489"
"94304","28","3902","718"
"94305","21","15730","134"
"94306","107","27549","388"
"95002","32","2146","1491"
"95008","316","46513","679"
"95013","0","77","0"
"95014","106","62430","170"
"95020","1351","63852","2116"
"95030","48","13288","361"
"95032","124","26281","472"
"95035","498","77562","642"
"95037","557","51652","1078"
"95046","101","6025","1676"
"95050","341","39452","864"
"95051","341","58123","587"
"95053","0","3678","0"
"95054","224","24264","923"
"95070","103","31308","329"
"95110","413","20203","2044"
"95111","1280","62392","2052"
"95112","863","61060","1413"
"95113","53","1939","2733"
"95116","1335","56481","2364"
"95117","447","29592","1511"
"95118","259","32560","795"
"95119","56","10472","535"
"95120","171","37774","453"
"95121","427","38102","1121"
"95122","1501","57780","2598"
"95123","691","67186","1028"
"95124","256","51170","500"
"95125","472","53574","881"
"95126","436","35988","1212"
"95127","1304","65686","1985"
"95128","365","37665","969"
"95129","129","39828","324"
"95130","76","14863","511"
"95131","222","31170","712"
"95132","293","41844","700"
"95133","345","28726","1201"
"95134","143","27224","525"
"95135","74","22358","331"
"95136","568","47599","1193"
"95138","163","20766","785"
"95139","54","7293","740"
"95140","0","115","0"
"95148","526","48854","1077"
