"age_group","count","percent","rates"
"19 or Under","18367","18.01322","3745.1954"
"20-29","19836","19.45392","8024.95358"
"30-39","17860","17.51599","6547.54485"
"40-49","16032","15.7232","5616.76903"
"50-59","13688","13.42435","5048.66831"
"60-69","8446","8.28332","3914.87942"
"70-79","4062","3.98376","3040.1916"
"80-89","2425","2.37829","3806.48908"
"90+","1197","1.17394","7291.66667"
"Unknown","51","0.05002",
