"age_group","count","percent","rates"
"19 or Under","6089","17.355","1241.6015"
"20-29","7101","20.23942","2872.81687"
"30-39","6465","18.42668","2370.09392"
"40-49","5641","16.0781","1976.30951"
"50-59","4574","13.03691","1687.06961"
"60-69","2711","7.72695","1256.59935"
"70-79","1305","3.71954","976.7233"
"80-89","796","2.26878","1249.47023"
"90+","380","1.08308","2314.81481"
"Unknown","23","0.06556",
