"age_group","count","percent","rates"
"19 or Under","20526","18.2502","4185.43478"
"20-29","21685","19.2807","8772.99447"
"30-39","19683","17.50067","7215.86368"
"40-49","17645","15.68863","6181.87933"
"50-59","15131","13.45337","5580.90299"
"60-69","9383","8.34267","4349.19649"
"70-79","4442","3.9495","3324.60145"
"80-89","2620","2.32951","4112.5779"
"90+","1300","1.15586","7919.10331"
"Unknown","55","0.0489",
