"age_group","count","percent","rates"
"19 or under","98412","22.98857","20835.47697"
"20-29","78899","18.43043","28735.58195"
"30-39","76099","17.77636","25575.54126"
"40-49","63480","14.82862","23196.75216"
"50-59","52652","12.29925","20957.60475"
"60-69","33219","7.7598","17935.95344"
"70-79","14732","3.44132","13850.16029"
"80-84","4338","1.01334","13725.67632"
"85+","5977","1.3962","17099.12745"
"Unknown","283","0.06611",
