"age_group","count","percent","rates"
"19 or Under","15159","17.64131","3091.05553"
"20-29","16871","19.63365","6825.41802"
"30-39","15179","17.66458","5564.67992"
"40-49","13507","15.71879","4732.14192"
"50-59","11548","13.439","4259.35284"
"60-69","7089","8.24983","3285.88446"
"70-79","3439","4.00214","2573.90914"
"80-89","2064","2.40198","3239.83236"
"90+","1027","1.19517","6256.09162"
"Unknown","46","0.05353",
