"age_group","count","percent","rates"
"19 or Under","11017","17.40387","2246.46473"
"20-29","12593","19.89353","5094.68846"
"30-39","11182","17.66453","4099.36431"
"40-49","10072","15.91103","3528.6987"
"50-59","8454","13.35503","3118.16495"
"60-69","5204","8.22091","2412.15161"
"70-79","2478","3.91457","1854.6516"
"80-89","1524","2.40751","2392.2018"
"90+","751","1.18638","4574.80507"
"Unknown","27","0.04265",
