"age_group","count","percent","rates"
"19 or Under","8965","17.49849","1828.0436"
"20-29","10351","20.20377","4187.65348"
"30-39","9242","18.03915","3388.15283"
"40-49","8141","15.89015","2852.17793"
"50-59","6743","13.16144","2487.08141"
"60-69","4061","7.92653","1882.34967"
"70-79","1909","3.72611","1428.78527"
"80-89","1205","2.352","1891.47189"
"90+","588","1.1477","3581.87135"
"Unknown","28","0.05465",
