"age_group","count","percent","rates"
"19 or under","3494","17","712.5"
"20-29","4181","20.4","1691.5"
"30-39","3774","18.4","1383.6"
"40-49","3382","16.5","1184.9"
"50-59","2635","12.8","971.9"
"60-69","1563","7.6","724.5"
"70-79","798","3.9","597.3"
"80-89","433","2.1","679.7"
"90+","235","1.1","1431.5"
"Unknown","16","0.1",
