"age_group","count","percent","rates"
"19 or under","95851","23.16215","20293.27016"
"20-29","76649","18.52204","27916.1158"
"30-39","73556","17.77462","24720.88349"
"40-49","61292","14.81106","22397.21697"
"50-59","50719","12.25612","20188.19334"
"60-69","31789","7.68173","17163.85273"
"70-79","13917","3.36301","13083.94521"
"80-84","4107","0.99245","12994.77931"
"85+","5679","1.37232","16246.60277"
"Unknown","267","0.06452",
