"age_group","count","percent","rates"
"19 or Under","4483","17.32025","914.12375"
"20-29","5220","20.16768","2111.82989"
"30-39","4763","18.40204","1746.13416"
"40-49","4230","16.34277","1481.96937"
"50-59","3289","12.70718","1213.11149"
"60-69","2010","7.76571","931.6727"
"70-79","986","3.80945","737.96871"
"80-89","577","2.22926","905.70895"
"90+","303","1.17065","1845.76023"
"Unknown","22","0.085",
