"age_group","count","percent","rates"
"19 or under","1108","13.3","225.9"
"20-29","1583","19","640.4"
"30-39","1538","18.5","563.8"
"40-49","1429","17.2","500.6"
"50-59","1106","13.3","407.9"
"60-69","738","8.9","342.1"
"70-79","405","4.9","303.1"
"80-89","260","3.1","408.1"
"90+","146","1.8","889.4"
"Unknown","8","0.1",
