"age_group","count","percent","rates"
"19 or Under","20923","18.28966","4266.38663"
"20-29","22097","19.3159","8939.6753"
"30-39","20032","17.5108","7343.80843"
"40-49","17921","15.66548","6278.57521"
"50-59","15372","13.4373","5669.79319"
"60-69","9548","8.3463","4425.67709"
"70-79","4517","3.9485","3380.73497"
"80-89","2635","2.30336","4136.12319"
"90+","1299","1.13551","7913.0117"
"Unknown","54","0.0472",
