"age_group","count","percent","rates"
"19 or Under","18826","18.0887","3838.7896"
"20-29","20199","19.40793","8171.81071"
"30-39","18182","17.46993","6665.5913"
"40-49","16358","15.71736","5730.98227"
"50-59","13959","13.41231","5148.62368"
"60-69","8642","8.30355","4005.72909"
"70-79","4158","3.99516","3112.04251"
"80-89","2472","2.37519","3880.26434"
"90+","1229","1.18087","7486.59844"
"Unknown","51","0.049",
