"age_group","count","percent","rates"
"19 or Under","21072","18.28119","4296.76906"
"20-29","22308","19.3535","9025.03853"
"30-39","20202","17.52642","7406.13108"
"40-49","18061","15.66897","6327.62384"
"50-59","15496","13.44369","5715.52923"
"60-69","9595","8.32422","4447.46247"
"70-79","4534","3.93351","3393.45857"
"80-89","2641","2.29122","4145.54131"
"90+","1302","1.12956","7931.28655"
"Unknown","55","0.04772",
