"age_group","count","percent","rates"
"19 or Under","4086","17.4","833.2"
"20-29","4738","20.2","1916.8"
"30-39","4298","18.3","1575.7"
"40-49","3831","16.3","1342.2"
"50-59","2985","12.7","1101"
"60-69","1812","7.7","839.9"
"70-79","900","3.8","673.6"
"80-89","516","2.2","810"
"90+","273","1.2","1663"
"Unknown","19","0.1",
