"age_group","count","percent","rates"
"19 or under","1921","15.1","391.7"
"20-29","2510","19.8","1015.5"
"30-39","2391","18.8","876.5"
"40-49","2157","17","755.7"
"50-59","1655","13","610.4"
"60-69","1053","8.3","488.1"
"70-79","529","4.2","395.9"
"80-89","297","2.3","466.2"
"90+","162","1.3","986.8"
"Unknown","19","0.1",
