"age_group","count","percent","rates"
"19 or Under","12829","17.45608","2615.94772"
"20-29","14401","19.59506","5826.14219"
"30-39","12967","17.64386","4753.75219"
"40-49","11592","15.77293","4061.22671"
"50-59","9877","13.43938","3643.02286"
"60-69","6104","8.30555","2829.31849"
"70-79","2958","4.02487","2213.90614"
"80-89","1813","2.4669","2845.84112"
"90+","920","1.25182","5604.2885"
"Unknown","32","0.04354",
