"age_group","count","percent","rates"
"19 or Under","5226","17.4055","1065.62809"
"20-29","6107","20.33972","2470.67914"
"30-39","5535","18.43464","2029.15234"
"40-49","4868","16.21316","1705.49099"
"50-59","3837","12.77935","1415.23526"
"60-69","2294","7.6403","1063.31203"
"70-79","1142","3.8035","854.72644"
"80-89","662","2.20483","1039.13228"
"90+","333","1.10908","2028.50877"
"Unknown","21","0.06994",
