"age_group","count","percent","rates"
"19 or Under","0","0","0"
"20-29","1","0.3","0.4"
"30-39","5","1.5","1.8"
"40-49","12","3.6","4.2"
"50-59","33","10","12.2"
"60-69","55","16.7","25.5"
"70-79","71","21.5","53.1"
"80-89","81","24.5","127.1"
"90+","72","21.8","438.6"
"Unknown","0","0","0"
