"age_group","count","percent","rates"
"19 or Under","2","0.15823","0.40782"
"20-29","9","0.71203","3.64109"
"30-39","18","1.42405","6.59887"
"40-49","35","2.76899","12.26216"
"50-59","94","7.43671","34.67087"
"60-69","169","13.37025","78.33467"
"70-79","262","20.72785","196.09311"
"80-89","362","28.63924","568.22641"
"90+","313","24.76266","1906.67641"
"Unknown","0","0","0"
