"age_group","count","percent","rates"
"19 or Under","1","0.15823","0.20391"
"20-29","3","0.47468","1.2137"
"30-39","11","1.74051","4.03264"
"40-49","26","4.11392","9.10903"
"50-59","48","7.59494","17.70427"
"60-69","95","15.03165","44.03428"
"70-79","136","21.51899","101.04034"
"80-89","171","27.05696","268.41634"
"90+","141","22.31013","858.91813"
"Unknown","0","0","0"
