"age_group","count","percent","rates"
"19 or Under","1","0.23585","0.20391"
"20-29","3","0.70755","1.2137"
"30-39","7","1.65094","2.56623"
"40-49","17","4.00943","5.95591"
"50-59","37","8.72642","13.64704"
"60-69","69","16.27358","31.98279"
"70-79","92","21.69811","68.85712"
"80-89","107","25.23585","167.95643"
"90+","91","21.46226","554.33723"
"Unknown","0","0","0"
